PRODUCT_ID |PRODUCT_NAME                                                                                                                                                                                                                                                   |DESCRIPTION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |STANDARD_COST|LIST_PRICE |CATEGORY_ID
        267|EVGA 12G-P4-1999-KR                                                                                                                                                                                                                                            |Chipset:GeForce GTX Titan X,Memory:12GBCore Clock:1.15GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |      1328.00|    1799.00|          2
        268|Western Digital WD10EZEX                                                                                                                                                                                                                                       |Series:Caviar Blue,Type:7200RPM,Capacity:1TB,Cache:64MB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |        35.00|      47.00|          5
        269|Zotac ZT-P10810D-10P                                                                                                                                                                                                                                           |Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |       580.00|     759.00|          2
        270|Gigabyte GV-N1070WF2OC-8GD                                                                                                                                                                                                                                     |Chipset:GeForce GTX 1070,Memory:8GBCore Clock:1.56GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |       551.00|     769.00|          2
        271|MSI X99A GODLIKE GAMING CARBON                                                                                                                                                                                                                                 |CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |       415.00|     549.00|          4
        272|G.Skill Ripjaws 4 Series                                                                                                                                                                                                                                       |Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |       834.00|    1073.00|          5
        273|Western Digital WD101KRYZ                                                                                                                                                                                                                                      |Series:Gold,Type:7200RPM,Capacity:10TB,Cache:256MB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |       313.00|     443.00|          5
        274|ASRock E3C224D4M-16RE                                                                                                                                                                                                                                          |CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |       364.00|     499.00|          4
        275|MSI X99A GODLIKE GAMING                                                                                                                                                                                                                                        |CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |       302.00|     399.00|          4
        276|Corsair Vengeance LPX                                                                                                                                                                                                                                          |Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |       867.00|    1163.00|          5
        277|G.Skill Trident Z                                                                                                                                                                                                                                              |Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       556.00|     758.00|          5
        278|G.Skill Ripjaws V Series                                                                                                                                                                                                                                       |Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       546.00|     677.00|          5
        279|G.Skill Ripjaws V Series                                                                                                                                                                                                                                       |Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |      1139.00|    1318.00|          5
        280|Western Digital WDS500G1B0B                                                                                                                                                                                                                                    |Series:Blue,Type:SSD,Capacity:500GB,Cache:N/A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       106.00|     149.00|          5
        281|Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING                                                                                                                                                                                                                        |Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.62GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |       696.00|     864.00|          2
        282|Corsair Dominator Platinum                                                                                                                                                                                                                                     |Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       700.00|     804.00|          5
        283|G.Skill Trident Z                                                                                                                                                                                                                                              |Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       647.00|     760.00|          5
        284|Kingston SA400S37/120G                                                                                                                                                                                                                                         |Series:A400,Type:SSD,Capacity:120GB,Cache:N/A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |        40.00|      54.00|          5
        285|Samsung MZ-75E1T0B/AM                                                                                                                                                                                                                                          |Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |       260.00|     339.00|          5
        286|Samsung MZ-V6E500                                                                                                                                                                                                                                              |Series:960 EVO,Type:SSD,Capacity:500GB,Cache:512MB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |       209.00|     234.00|          5
